"Laikotarpis","Rodiklis","Amžius (tikslinės amžiaus grupės)","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"2016K4","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","7,6"
"2016K3","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","7,5"
"2016K2","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","8,0"
"2016K1","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","8,3"
"2015K4","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","8,8"
"2015K3","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","8,3"
"2015K2","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","9,4"
"2015K1","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","10,0"
"2014K4","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","10,1"
"2014K3","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","9,1"
"2014K2","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","11,2"
"2014K1","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","12,4"
"2013K4","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","11,4"
"2013K3","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","10,9"
"2013K2","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","11,7"
"2013K1","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","13,1"
"2012K4","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","13,2"
"2012K3","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","12,5"
"2012K2","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","13,3"
"2012K1","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","14,5"
"2011K4","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","13,9"
"2011K3","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","14,9"
"2011K2","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","15,6"
"2011K1","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Vyrai ir moterys","proc.","17,1"
